Premise,Hypothesis,Label
The Commissioner must investigate and attempt to settle any industrial dispute that exists or may arise.,"The Employer agrees that in the event of any dispute between the Employer and Employees, the matter shall be referred to the Commissioner, who shall have the authority to investigate and facilitate a resolution in accordance with applicable laws.",ENTAILMENT
The Commissioner must investigate and attempt to settle any industrial dispute that exists or may arise.,"The Parties agree that no industrial dispute shall be referred to the Commissioner, and all disputes shall be resolved solely between Employer and Employee without any third-party intervention",CONTRADICTION
"The Commissioner may refer any industrial dispute for conciliation, arbitration, or to a labour tribunal.","In the event of a dispute arising under this Agreement, the matter may be referred by the Commissioner for conciliation, arbitration, or adjudication by a labor tribunal, as deemed appropriate and in accordance with applicable law",ENTAILMENT
"The Commissioner may refer any industrial dispute for conciliation, arbitration, or to a labour tribunal.","Any dispute arising under this Agreement shall not be subject to conciliation, arbitration, or labour tribunal proceedings, and must be settled internally by the Employer",CONTRADICTION
A collective agreement in force is binding on all parties and its terms are part of their employment contracts.,The Parties acknowledge that any collective agreement currently in force shall be binding and its provisions shall form an integral part of this Employment Agreement.,ENTAILMENT
A collective agreement in force is binding on all parties and its terms are part of their employment contracts.,The Parties agree that any existing or future collective agreements shall not bind them or form part of their employment contract,CONTRADICTION
The Commissioner or authorized officer must attempt to settle any dispute referred for conciliation.,"The Employer and Employee agree that any dispute referred to the Commissioner or an authorized officer shall be subject to their efforts to achieve an amicable resolution, following investigation and conciliation procedures as determined by the Commissioner.",ENTAILMENT
The Commissioner or authorized officer must attempt to settle any dispute referred for conciliation.,The Employer shall have the sole authority to decide disputes without intervention by the Commissioner or any authorized officer,CONTRADICTION
A settlement must be in writing and signed by both parties or their representatives.,"Any settlement reached under this Agreement shall be documented in writing and executed by the Employer and Employee, or their duly authorized representatives, and shall be binding on all parties.",ENTAILMENT
A settlement must be in writing and signed by both parties or their representatives.,Any settlement of an industrial dispute may be deemed valid even if not recorded in writing or signed by either party.,CONTRADICTION
Any valid settlement is binding on all parties and becomes part of their employment contracts.,The Parties agree that any valid settlement currently in force shall be binding and shall constitute an integral part of their respective employment contracts.,ENTAILMENT
Any valid settlement is binding on all parties and becomes part of their employment contracts.,The Parties agree that terms of any settlement shall not affect the employment contract and shall have no binding effect,CONTRADICTION
Employees have the legal right to challenge termination by applying to a labour tribunal.,"The Employee or a recognized trade union on behalf of the Employee may submit an application to the Labour Tribunal for relief or redress regarding termination of employment, in accordance with applicable law.",ENTAILMENT
Employees have the legal right to challenge termination by applying to a labour tribunal.,Employees waive any right to approach a labour tribunal regarding termination or any dispute with the Employer.,CONTRADICTION
Contract clauses cannot override worker rights granted by labour tribunals.,Any relief or redress granted by a Labour Tribunal shall prevail over and supersede any provision in this Employment Agreement that conflicts with such rights.,ENTAILMENT
Contract clauses cannot override worker rights granted by labour tribunals.,Any clause in this Agreement limiting worker rights shall be valid and enforceable notwithstanding any labour tribunal decision,CONTRADICTION
Complaints about termination must be filed within six months.,"Any application relating to termination must be filed with the Labour Tribunal within six (6) months from the date of termination, in accordance with statutory requirements.",ENTAILMENT
Complaints about termination must be filed within six months.,"Employees may file complaints regarding termination at any time, without limitation or adherence to statutory time periods.",CONTRADICTION
Retrenchment protections apply only to employers with 15 or more employees.,"The retrenchment provisions set forth herein apply only to Employers who employ an average of fifteen (15) or more Employees, consistent with the Industrial Disputes Act",ENTAILMENT
Retrenchment protections apply only to employers with 15 or more employees.,All retrenchment provisions of this Agreement shall apply to the Employer regardless of the number of employees,CONTRADICTION
Employers must give written notice before retrenching an employee.,"Where the Employer intends to retrench an Employee, the Employer shall provide the Employee with at least one (1) month’s prior written notice and notify the relevant trade union and the Commissioner of Labour, as required by law.",ENTAILMENT
Employers must give written notice before retrenching an employee.,The Employer may retrench any Employee immediately without providing any prior notice,CONTRADICTION
Retrenchment cannot occur until two months after notice is given.,"No retrenchment shall take effect until two (2) months have elapsed from the date of issuance of the retrenchment notice, in accordance with statutory provisions.",ENTAILMENT
Retrenchment cannot occur until two months after notice is given.,"The Employer may implement retrenchment effective immediately, ignoring any notice period.",CONTRADICTION
Employers cannot force union membership or non-membership.,"Employment under this Agreement shall not be contingent upon the Employee joining, refraining from joining, or withdrawing from membership in any trade union.",ENTAILMENT
Employers cannot force union membership or non-membership.,Employees must join the union designated by the Employer as a condition of employment,CONTRADICTION
Employees cannot be dismissed for union involvement.,"The Employer shall not terminate or otherwise penalize the Employee on account of membership in, or participation in, lawful trade union activities.",ENTAILMENT
Employees cannot be dismissed for union involvement.,The Employer may terminate or penalize any Employee solely on the basis of union membership or participation in union activities,CONTRADICTION
Employers must negotiate with unions that represent at least 40% of workers.,"The Employer shall recognize and negotiate in good faith with any trade union representing at least forty percent (40%) of the workmen on whose behalf such union seeks to bargain, as may be verified by the Commissioner of Labour through a workplace poll.",ENTAILMENT
Employers must negotiate with unions that represent at least 40% of workers.,The Employer is not obligated to negotiate with any trade union regardless of the percentage of Employee representation,CONTRADICTION
Labour tribunals can order reinstatement of dismissed workers.,"The Parties acknowledge that a Labour Tribunal may order reinstatement or discontinuance of service for any disputed dismissal, and such orders shall be binding.",ENTAILMENT
Labour tribunals can order reinstatement of dismissed workers.,"The Employer shall have the exclusive right to refuse reinstatement of any Employee, regardless of any tribunal decision",CONTRADICTION
Employers may be ordered to pay compensation for wrongful dismissal.,"The Employer shall comply with any order of a Labour Tribunal regarding payment of compensation, including determination of amount and timing, as required by law.",ENTAILMENT
Employers may be ordered to pay compensation for wrongful dismissal.,"The Employer shall not be obligated to pay any compensation for termination, dispute, or breach, notwithstanding any tribunal order.",CONTRADICTION
Employers cannot punish workers for participating in legal proceedings.,"The Employer shall not dismiss, discipline, or penalize the Employee for providing evidence or participating in proceedings under this Act.",ENTAILMENT
