Premise,Hypothesis,Label
"Cannot exclude consumer protections for quality, fitness for purpose, and sale by sample.","Any term purporting to limit a consumer’s statutory rights regarding quality, fitness for purpose, or sale by sample shall be ineffective.",CONTRADICTION
Delivery and payment must occur at the same time unless agreed otherwise.,"Unless otherwise agreed, delivery of goods and payment of the price shall occur concurrently; the Seller shall be ready to deliver, and the Buyer shall be ready to pay, at the same time.",ENTAILMENT
The Commissioner must grant or refuse approval to terminate employment within 3 months of the employer’s application.,The Commissioner of Labour shall grant or refuse approval for termination within three (3) months from the date of receipt of the Employer’s application.,ENTAILMENT
"If the equipment is not delivered on time or is defective, the lessee may reject and end the lease.","In the event that the Equipment is not delivered within the agreed timeframe or does not conform to the agreed specifications, the Lessee may reject the Equipment and terminate this Lease Agreement",ENTAILMENT
Agreements to guarantee or be responsible for another’s debt must be in writing and signed to be enforceable.,Any obligation to guarantee the debt of another party under this Agreement shall be valid only if in writing and signed by the guarantor,ENTAILMENT
Rent receipts are mandatory for all payments.,The Landlord shall issue a receipt for every rent or advance payment made by the Tenant.,ENTAILMENT
"A worker is not protected by this Act if their total period of employment is less than 180 days, even after counting approved leave, injury leave, occupational disease leave, employer-caused work stoppages, lawful strikes or lockouts (up to 30 days), and statutory holidays.","This Act shall not apply where the Employee has been employed for a total period of less than one hundred and eighty (180) days, inclusive of all approved absences, statutory leave, injury-related leave, lawful strike or lockout periods, and days on which work was not provided by the Employer.",ENTAILMENT
"Employers must keep a wage register showing employee names, job type, and wages.",The Employer shall not maintain any wage or employment registers.,CONTRADICTION
"If a woman worker worked any days during the 2‑week pre‑confinement period, she is entitled to maternity benefit for the same number of days after the standard period ends.",Any days worked by a female employee during the pre-confinement maternity period shall be added to her post-confinement maternity leave entitlement.,ENTAILMENT
All goods and services must meet determined standards and specifications.,Goods and services supplied shall conform to applicable standards and specifications determined by law.,ENTAILMENT
"If an input error occurs in an electronic contract and cannot be corrected immediately, the person may withdraw that portion of the contract if notified promptly.",A Party may withdraw any portion of an electronic communication in the event of an input error that cannot be corrected immediately.,ENTAILMENT
An employee must be granted a holiday on each Full Moon Poya Day.,"The Employee shall be granted a holiday on each Full Moon Poya Day, subject to statutory provisions regarding overlapping holidays.",ENTAILMENT
"For loans over Rs. 2,500, any interest rate above 15% per year is presumed unreasonable unless the lender proves it is reasonable.","Interest on loans exceeding Rs. 2,500 shall not exceed 15% per annum unless the lender proves reasonableness.",CONTRADICTION
Gratuity for employees in converted public companies can be paid via cash or bonds.,"Employees of a public corporation or government-owned business converted into a public company shall receive their gratuity in cash or via bonds issued by the Central Bank, as chosen by the Employer.",ENTAILMENT
Seller must deliver goods and buyer must accept and pay as agreed.,"The Seller shall deliver the goods, and the Buyer shall accept and pay for them as per the contract terms.",CONTRADICTION
Rights to the Fund’s monies are strictly limited to statutory provisions; no additional or extrastatutory claims are allowed.,The Employee may assert independent contractual claims over trust fund monies.,CONTRADICTION
Employers cannot deduct EPF contributions or surcharge from employee wages; contracts attempting this are void.,No deduction for Employer’s EPF obligations or surcharges shall be made from Employee wages; any agreement to the contrary shall be null and void,ENTAILMENT
"Termination includes any form of non-employment by the employer, whether temporary or permanent, including termination due to business closure, but excluding disciplinary dismissal.","For the purposes of this Agreement, termination of employment shall include non-employment, whether temporary or permanent, including termination arising from closure of the Employer’s business, other than disciplinary dismissal.",ENTAILMENT
"If a money lender fails to keep proper loan records, they cannot legally enforce the loan in court.",Failure to maintain proper loan records shall void the Lender’s right to enforce the loan,ENTAILMENT
The Employer may withhold or forfeit gratuity if termination is due to proven misconduct causing loss.,"Any termination, for any reason whatsoever, shall result in full forfeiture of gratuity.",CONTRADICTION
False claims about warranties or guarantees are illegal.,"Traders may misrepresent warranties, guarantees, or product assurances without liability.",CONTRADICTION
Employers cannot deduct EPF contributions or surcharge from employee wages; contracts attempting this are void.,The Employer may deduct its provident fund contribution and any surcharge from the Employee’s salary.,CONTRADICTION
"The Commissioner may refer any industrial dispute for conciliation, arbitration, or to a labour tribunal.","In the event of a dispute arising under this Agreement, the matter may be referred by the Commissioner for conciliation, arbitration, or adjudication by a labor tribunal, as deemed appropriate and in accordance with applicable law",ENTAILMENT
A person who sold a business and receives ongoing profit payments is not a partner and is not liable for the business’s debts.,A person receiving profits in consideration of the sale of goodwill shall not be deemed a partner or liable for business debts.,CONTRADICTION
Pawnbroker loan agreements must allow redemption of pledged goods within 12 months.,The Pawner shall have the right to redeem pledged goods within twelve months from the date of pawning.,CONTRADICTION
"On termination, the employee must be allowed unused annual leave with pay or be paid in lieu if leave cannot be taken.","Upon termination, the Employee forfeits all unused leave and is not entitled to payment in lieu",CONTRADICTION
An employee is entitled to up to 7 days of paid casual/medical leave per year.,"The Employee shall not be entitled to any casual, medical, or personal leave with pay.",CONTRADICTION
It is a criminal offence for a lender to accept a promissory note with a false or blank amount.,"Acceptance of a promissory note with a false or blank amount shall constitute a criminal offence, punishable under law.",CONTRADICTION
Fitness-for-purpose exclusions are invalid unless clearly disclosed.,Any provision excluding or modifying fitness-for-purpose obligations is valid only if clearly brought to the attention of the Hirer prior to execution of this Agreement.,ENTAILMENT
Employers must negotiate with unions that represent at least 40% of workers.,The Employer is not obligated to negotiate with any trade union regardless of the percentage of Employee representation,CONTRADICTION
"If a worker gives notice of expected confinement, the employer must not assign her work harmful to her or her child during pregnancy and 3 months after confinement.",The Employer may assign any duties regardless of pregnancy or health condition.,CONTRADICTION
Delivery and payment must occur at the same time unless agreed otherwise.,Delivery of goods and payment shall occur concurrently unless otherwise agreed in writing.,CONTRADICTION
"Employers must provide sanitary and washing facilities, including separate female facilities.",No sanitary or washing facilities are guaranteed to Employees under this Agreemen,CONTRADICTION
No person under 18 may be employed in hazardous occupations.,The Employer shall not employ any person under the age of eighteen years in any hazardous occupation as prescribed by law.,ENTAILMENT
"Employers must provide sanitary and washing facilities, including separate female facilities.","The Employer shall provide and maintain suitable sanitary conveniences and washing facilities for Employees, including separate facilities for female Employees where applicable.",ENTAILMENT
The parties to the document or anyone with a legal interest can submit it for registration.,Only the executing party may submit an instrument for registration; third-party submissions are not permitted.,CONTRADICTION
Goods sold by sample must match the sample in quality.,"In contracts for the sale of goods by sample, the Seller warrants that the bulk of goods shall correspond in quality to the sample provided.",ENTAILMENT
Awareness or agreement to a negligence exclusion clause does not mean acceptance of risk.,"A party’s knowledge or acceptance of a term excluding or limiting liability for negligence shall not, by itself, constitute consent to assume the risk",CONTRADICTION
Clauses restricting the hirer’s right to terminate are void.,Any term in this Agreement restricting the Hirer’s statutory right to terminate the hire-purchase is void.,ENTAILMENT
Courts will presume electronic documents and e-signatures are genuine unless proven otherwise.,"Courts shall, unless disproved, presume the authenticity of electronic documents, records, or signatures and the identity of their originators.",CONTRADICTION
Children cannot participate in entertainment for which payment is charged.,Children may participate in entertainment activities for which admission fees are charged.,CONTRADICTION
